lv_feeder_unique_id,PC1,PC2,PC3,PC1_original,PC2_original,PC3_original,cluster_k2_pca,new_cluster_k2_pca,moved_cluster,distance_to_centroid,pca_shift_distance,delta_distance_to_centroid,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id,source_file,score_moved_cluster,score_distance_to_centroid,score_delta_distance_to_centroid,score_pca_shift_distance,score_composite
SSEN-400600301501,-1.4138050090450327,-0.875513824838999,0.9158458486851202,-1.4136458968401215,-0.8760455284008087,0.9169950832266875,0,0,False,1.1989641119339058,0.0012762309363608,-0.0010832335160702,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.42862276378659214,-0.24460937652800085,-0.14540640335237315,-0.27287951455565534
SSEN-400600301502,2.897326669390452,-0.1177597380349407,1.2057896796158094,2.8915297254943217,-0.1133385357923062,1.191758276482088,1,1,False,1.556324498764429,0.0158123958243575,0.0140845635002484,1,unmetered_load,0.2,SSEN-400600301502-unmetered_load-0.2,features_unmetered_load_0.2_projected_clustered.csv,0,-0.23071366419563138,3.153414795897512,1.7467183607342982,1.5564731641453928
SSEN-400600301503,-1.9125939964472367,-0.6943535150309925,0.9214406824219183,-1.9124485094367203,-0.6948758233343278,0.9225695801188714,0,0,False,1.4213194123372446,0.0012523507672165,-0.0007883444833378,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.305480583192938,-0.17854572467863816,-0.14851480641168488,-0.21084703809442037
SSEN-400600301504,2.452705904369812,-0.900180560803222,0.5229065738865317,2.452982210927469,-0.900627563797123,0.5240485167104428,1,1,False,1.8836188144479895,0.0012570562451389,-0.0006767909916485,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.04945540025466404,-0.15355452385554644,-0.1479023098300598,-0.11697074464675676
SSEN-400600301505,-2.26767383372151,-0.784490110125086,1.4480983259661164,-2.267532446182008,-0.7850647755674413,1.4492867837371115,0,0,False,2.049561601930938,0.0013276530723055,-0.0008919300877123,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,0.04244507015180978,-0.20175188884349118,-0.13871295307901105,-0.09933992392356415
SSEN-401100228001,0.6331814385821173,-0.1173365365025902,-0.1107506140702589,0.6333796831243423,-0.1179192079990277,-0.1094653552416415,0,0,False,1.5694146919017875,0.0014250253428699,-5.172286094023981e-05,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.22346420837244016,-0.01352122730797589,-0.12603832494360884,-0.12100792020800828
SSEN-401100228002,-0.5385760857925229,-0.3423184672376329,0.2777776543931731,-0.538405867207157,-0.34290124178775,0.2790292833414379,0,0,False,0.4882331084715008,0.0013911058792207,-0.0009379659160148,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.8222313956614289,-0.21206524266812543,-0.13045350994252045,-0.3882500494240249
SSEN-401100228004,1.6239893693194611,1.4189866131415352,-1.9508861160453843,1.624216083679241,1.418782019038397,-1.9500339058185343,1,1,False,2.3210305442744645,0.0009052736706197,0.0008867428293184,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,0.19278678659839846,0.19672216512798396,-0.1936926903018429,0.06527208714151318
SSEN-401100228005,3.3226982317934284,0.6290108477073354,0.0097612647804578,3.32300151541286,0.6285496816864562,0.0109915520129951,1,1,False,0.7392573892782217,0.0013484293556479,-0.0003554824434791,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.6832120996769324,-0.0815721382584873,-0.1360085726237303,-0.30026427018638335
SSEN-460000307001,-1.9221012793947712,-0.7013896186555245,1.4414615004247653,-1.9219544129676431,-0.7020461748667312,1.442770966124867,0,0,False,1.8164168107420493,0.0014721875646922,-0.0011145602265689,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.08667241852048112,-0.2516274635582158,-0.11989937367778972,-0.15273308525216223
SSEN-460000307003,-1.685610586389362,-0.3619728960251503,1.3380752176492612,-1.6854505350522166,-0.3625460102140672,1.3392929661425863,0,0,False,1.5637243658193076,0.0013553551922117,-0.0009991048987716,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.2266155574107336,-0.22576213886614277,-0.1351070592620317,-0.1958282518463027
SSEN-460000307004,-0.6722028931405616,-0.7241151690080725,0.8903461595502952,-0.6720264237424253,-0.7247195394910939,0.8916157184447614,0,0,False,1.0312675225626642,0.0014171044124356,-0.0014066180879435,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.521494503996223,-0.3170568513348372,-0.12706936640088637,-0.32187357391064886
SSEN-460000307005,3.948006222782104,0.5459484715798759,0.3198505266799315,3.9483358574219385,0.5455498205848226,0.3210154983729337,1,1,False,1.3772774499602387,0.0012746531516974,-0.0006294127234518,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.32987138150037854,-0.1429404247608105,-0.14561177839159553,-0.20614119488426152
SSEN-460000307006,-0.5965280607532608,0.4656280720213528,-0.2541280685495452,-0.5963609916577088,0.4651180154911721,-0.2529494568742457,0,0,False,0.8799622316600098,0.0012950657233595,0.0006996282952288,0,unmetered_load,0.2,,features_unmetered_load_0.2_projected_clustered.csv,0,-0.605288609301168,0.15480311062293367,-0.14295474108924308,-0.1978134132558258
