lv_feeder_unique_id,PC1,PC2,PC3,PC1_original,PC2_original,PC3_original,cluster_k2_pca,new_cluster_k2_pca,moved_cluster,distance_to_centroid,pca_shift_distance,delta_distance_to_centroid,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-461800102003,-2.9407216104198044,-0.7244143880445143,1.2804522730651968,-2.93928812773125,-0.7264964972124062,1.2757390204743786,0,0,False,2.4389841722740826,0.00534834564984907,0.0033612740982111866,0,,,
SSEN-461800102004,-0.9626115929385325,0.08885600805179668,0.036085388154892845,-0.9616783657910588,0.0869009039170886,0.0316508543648227,0,0,False,0.41526395856094733,0.004935426528843112,0.0026510853987213867,0,,,
SSEN-461800102005,0.7356055351276669,-1.3638483372046528,-0.7642577727836863,0.7360820796263126,-1.3655267086690115,-0.7682689887874029,0,0,False,2.0928485353354422,0.004374228990351879,-0.002633944285122425,0,,,
SSEN-461800102006,-1.0700570305746728,-1.0514584271833614,0.6514411253482871,-1.0690958646714408,-1.0534122081754649,0.6470561785124215,0,0,False,1.0077388613156932,0.004895800119695361,0.001657368699135242,0,,,
SSEN-461800108001,0.8460054987770973,-1.3909399776943192,-0.04490076499287197,0.8464990669546153,-1.3927254632608888,-0.0489548037401916,0,0,False,2.066252136335905,0.004457218686474284,-0.0013907122468861388,0,,,
SSEN-461800108002,-1.763259033407134,-0.5423796803454786,0.21434294410127527,-1.7621893896970997,-0.54433423951796,0.2099798420272648,0,0,False,0.9037298053581633,0.004899091643701096,0.0016602605629491007,0,,,
SSEN-461800108003,-0.8553312950682361,-0.7330119028572459,-0.26648102374385024,-0.8664834834648201,-0.7139872140713921,-0.2154070486953896,0,0,False,0.4830235876017157,0.05563147505398607,0.04191848693196243,1,flatline_consumption,20.0,SSEN-461800108003-flatline_consumption-20
SSEN-461800108004,0.15384631289686532,-1.7189195576223342,-0.05649502944955226,0.1544798708058723,-1.7206891897413503,-0.0606177284483922,0,0,False,1.7645199351170078,0.004530964631924947,-0.0018670800470490523,0,,,
SSEN-461800108005,0.881650162826602,-1.0326221796548523,0.11871013400495577,0.8821673602813197,-1.0344740189480384,0.1145721999561269,0,0,False,1.9436202846061865,0.004562817130612593,-0.0008576756391311946,0,,,
SSEN-461800108006,-2.3808293259167663,-2.067854666391958,0.8072131238352932,-2.3795943018158443,-2.069740057557939,0.8027380111465441,0,0,False,2.424993959078316,0.005010650452348585,0.0009155624855403666,0,,,
SSEN-461800122002,-0.3903724794985017,-0.9044256265199263,-0.16990542303831632,-0.3895977865521841,-0.9062520157194748,-0.1741804508824464,0,0,False,0.8025854268608842,0.004712930058614183,-0.0026229502288074302,0,,,
SSEN-461800122003,0.797371962216091,-0.4324425792900704,0.1832120272699128,0.7979411686932915,-0.4343425932410757,0.17894958874217,0,0,False,1.7344050224970082,0.004701322285324419,-0.00018156220363763076,0,,,
SSEN-461800122004,-0.3841659432465188,-0.7827541567889053,0.10431373745580765,-0.38339221900175,-0.7846422997594612,0.1000746732649848,0,0,False,0.7204947119546408,0.004704614574874272,-0.0010423731803597125,0,,,
