lv_feeder_unique_id,PC1,PC2,PC3,PC1_original,PC2_original,PC3_original,cluster_k2_pca,new_cluster_k2_pca,moved_cluster,distance_to_centroid,pca_shift_distance,delta_distance_to_centroid,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-460600105004,1.0302672052617037,0.24686503693046552,-0.6051496856790418,1.0302931911673563,0.2467851340521686,-0.6052444691552633,1,1,False,1.8758635826663763,0.00012666350941510648,-4.0474462672746014e-05,0,,,
SSEN-460600105005,0.07439461253664746,-0.476417527004834,-0.7421067964910213,0.0738130029100669,-0.4753241540311361,-0.7409144262924832,0,0,False,1.2364838100901252,0.0017191512172307546,0.0012974881248122294,1,smoothed_profile,0.05,SSEN-460600105005-smoothed_profile-0.05
SSEN-460600208001,-2.752772606094102,-0.9160957540808867,0.003544023222559027,-2.75271808043248,-0.9161595349159672,0.0034700928411227,0,0,False,1.9268363685560062,0.00011183355488484867,3.32006135739249e-05,1,smoothed_profile,0.05,SSEN-460600208001-smoothed_profile-0.05
SSEN-460600208002,0.3729770018052675,0.3002639996949351,-2.1584186381415793,0.3730180082936162,0.300190056806123,-2.158506527637185,0,0,False,2.57077279510368,0.00012195755954599452,-7.573668354377006e-05,0,,,
SSEN-460600208003,-0.9907524909715201,0.7034923134162699,-0.7148194968903808,-0.9907169756774408,0.703417297941239,-0.7149076580308765,0,0,False,1.2359093042127955,0.00012108279936128153,1.491716252544073e-05,0,,,
SSEN-460600434001,1.3769710302029587,1.4757922838705493,-0.42104262551044896,1.3769885309124663,1.4757081652163389,-0.421143376500588,1,1,False,1.4706583376738214,0.00013241217781394905,1.3158420091974321e-05,0,,,
SSEN-460600434002,0.7979456721403674,0.9203364861523807,0.3643442219614659,0.7979619045582261,0.920253394212195,0.364245967526114,1,1,False,1.8703871547941868,0.00012969848102306345,3.144593947945751e-05,0,,,
SSEN-461000302001,14.582486506590477,4.03429909880954,5.829686944393042,14.582329157208587,4.034140691375427,5.8294970616733,1,1,False,13.614280702415822,0.0002930992842365009,0.00025451612068394525,0,,,
SSEN-461000302002,0.33895231379984947,0.038297555902787224,-0.5203197535424364,0.3389823593213715,0.0382197402233374,-0.5204115981976303,0,0,False,1.4000902529567782,0.00012407035914933847,-3.9620125770412074e-05,0,,,
SSEN-461000307001,-4.095380176790116,0.7012988038065525,2.0472685193733686,-4.095331027080952,0.7012285167561129,2.047185729277841,0,0,False,3.926279775914746,0.00011920638945908554,0.00010171776676459743,0,,,
SSEN-461000307002,-2.1383937241124618,-0.7261249354203765,0.8975265722403649,-2.1383495069630096,-0.7261957485729562,0.8974442880363275,0,0,False,1.5808701217462684,0.0001172192352731727,6.387682834896324e-05,0,,,
SSEN-461000307003,3.9215269178419327,0.5469727160406914,0.2769390746995913,3.9215230305578967,0.5468793693538619,0.2768276468240425,1,1,False,1.3447855824171575,0.00014541281363255143,-5.161894203187245e-06,0,,,
SSEN-461400507003,-3.1436109573361533,0.8239354266827548,0.24159883156313816,-3.14356309558517,0.823868791235109,0.2415221058626924,0,0,False,2.513988516219234,0.00011232926243429867,8.077336837652993e-05,0,,,
SSEN-461800102001,2.082464141958089,-1.422442410186929,0.08838239259836506,2.082483480598775,-1.4225259864401891,0.088283638933647,1,1,False,2.407808139358412,0.00013081001271999336,-7.608172816331304e-05,0,,,
SSEN-461800102002,-1.1663092258562031,-0.9602746352866227,-0.4274737518102621,-1.166261212383763,-0.9603449896734132,-0.427556257911178,0,0,False,0.7952522470302095,0.00011858452666671956,-8.358517174733571e-05,0,,,
SSEN-461800102003,-2.93933752231772,-0.7264280056895612,1.275818428726364,-2.93928812773125,-0.7264964972124062,1.2757390204743786,0,0,False,2.435694810581988,0.00011591628167579896,7.191240611659211e-05,0,,,
