lv_feeder_unique_id,PC1,PC2,PC3,PC1_original,PC2_original,PC3_original,cluster_k2_pca,new_cluster_k2_pca,moved_cluster,distance_to_centroid,pca_shift_distance,delta_distance_to_centroid,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-490402010003,-0.5218449876832284,-0.8332992350933263,0.8009541344422367,-0.5217678861316596,-0.8338517878272312,0.8019890143629217,0,0,False,1.0513824695251177,0.0011756851718198599,-0.0011124018363266597,0,,,
SSEN-490402010004,1.679501062372501,-0.3184235311504322,0.29515717260229146,1.6796156559604838,-0.3189244457400932,0.2961819921645013,1,1,False,1.5851750304127399,0.0011464302210034342,-0.0004654565777781894,0,,,
SSEN-490402010005,-0.5252985112529348,0.019206842738480882,-0.2787950284091212,-0.525231447756893,0.0187177674041915,-0.2778324294493713,0,0,False,0.5793064405491536,0.0010817989426982978,0.0006611379856493738,0,,,
SSEN-490402400501,3.8591924128827073,0.19906707583764977,0.8211211886470968,3.8553622384189543,0.2034411620575856,0.8086213083261172,1,1,False,1.5973870790840576,0.01378585777966069,0.01071634816588296,1,gradual_drift,0.2,SSEN-490402400501-gradual_drift-0.2
SSEN-490402400502,5.454063362974531,0.3049514465371929,1.4213839966923272,5.454274231638296,0.3045134504874711,1.4224270471050222,1,1,False,3.175691447891857,0.0011507650917338577,-0.0007143453024589519,0,,,
SSEN-490402400503,-2.4950710762314197,0.7113067852617463,-0.24411529056589196,-2.495035782972383,0.7107989017793938,-0.2431630256367648,0,0,False,1.8945635650104726,0.0010798146790192693,0.00041550001102330647,0,,,
SSEN-490402400505,-0.2055374736716065,-1.4867119330152758,-0.23485588558684886,-0.2054761024487462,-1.4872270207658442,-0.2338774140644293,0,0,False,1.384695161408265,0.0011074693395155665,-0.00031804770615218025,0,,,
SSEN-490700102002,-2.247257740205039,16.855963330738668,-4.637784258003462,-2.24714859179601,16.856120135818767,-4.637418517091189,1,1,False,17.324077844446773,0.0004126349757944223,-1.3993931020195305e-05,0,,,
SSEN-490700612001,2.72093582245356,-0.7796233550691115,-0.8875679658438895,2.721046456995064,-0.7800384943713949,-0.8866467024664392,1,1,False,1.9521909449191315,0.0010165170203717301,8.732722066073784e-05,0,,,
SSEN-490700612002,-3.3897873997229455,-0.06482043175271514,0.9714072219982468,-3.389750176185334,-0.0653442131099143,0.9723512379569264,0,0,False,2.6747328042107,0.0010802308235480784,-0.0002676621610588903,0,,,
SSEN-490700612003,1.2026658874374807,-0.3995421526215068,-0.5288379363238765,1.202751789776757,-0.4000633119960528,-0.5278043634863783,1,1,False,2.044592363082982,0.001160714915896472,2.821294116728268e-05,0,,,
SSEN-490700612004,-1.3568680578949444,0.4416693331651131,-0.10153835517265636,-1.3568092037094812,0.4411933216550608,-0.1006036064089676,0,0,False,0.88075633465672,0.0010506217321502786,0.0005212061305993609,0,,,
SSEN-490700612005,0.8907444310469584,1.711360956640777,0.43599269880940084,0.8908696644606637,1.710990529847083,0.436865590755739,1,1,False,1.9594769901922149,0.0009564725648844641,9.97910415365677e-05,0,,,
SSEN-491001118001,0.8132293786799175,-0.711192820816279,-1.1342139804958755,0.8133009662757699,-0.7116596701116512,-1.133266062247929,0,0,False,2.095223891375982,0.0010590665952902147,0.00035503769141076447,0,,,
SSEN-491001118002,-0.3152851292638658,-3.3602672307420005,-4.215837795865858,-0.3152556465604879,-3.360021807055429,-4.215842436999148,0,0,False,5.2127809496711,0.0002472317856731011,0.00013599237861861013,0,,,
SSEN-491001118003,-1.7216969419521055,-0.489301704973447,-1.434311351637787,-1.721666217728585,-0.4897097970342711,-1.4334933419721207,0,0,False,1.6296850007563048,0.0009146709359884605,0.0006798236202474328,0,,,
SSEN-491100302001,-2.572545255762018,2.339267109004493,0.5848588614625728,-2.5724905522294645,2.338749207474145,0.5858548379742361,0,0,False,3.1891609016072384,0.001123914446653133,0.00026943493361208937,0,,,
SSEN-491100302003,0.49626357976218277,-2.7303637532319573,-6.967845603699003,0.4962754276195431,-2.730208600174127,-6.967874922424324,0,0,False,7.484632368613886,0.000158342763435975,2.0530935903373404e-05,0,,,
SSEN-491100602001,0.7875967265784375,-0.9788763752269913,-0.607671319723799,0.7864152469584612,-0.9735928585121164,-0.6184809567974895,0,0,False,1.9215363992261827,0.012089652461244984,-0.0004519424932845073,1,gradual_drift,0.2,SSEN-491100602001-gradual_drift-0.2
SSEN-491100602002,-1.477003190414502,0.02853870761453927,-1.3975078398064964,-1.4769703185737086,0.0281083032057316,-1.3966472373465693,0,0,False,1.521168236363041,0.0009627902715913107,0.0008869069115433614,0,,,
SSEN-491100602003,0.5652337746918101,-0.713893227141131,0.08618494682518159,0.565322107611117,-0.7143893575077935,0.0871712853733421,0,0,False,1.541424875535592,0.001107615356044387,-0.0002836607544500769,0,,,
SSEN-491100602004,-0.39661001147660735,-0.2061279658645928,-0.039735828097316545,-0.3965390226232606,-0.2066385091622628,-0.0387456829330938,0,0,False,0.5365303689408435,0.001116280127176389,6.444191663790289e-05,0,,,
SSEN-491100604001,-0.4077924429887867,-1.091352940095687,-0.5440296483064112,-0.4077360869784259,-1.0918434743810217,-0.5430823005490394,0,0,False,1.0619597833186332,0.0010683012956980203,7.866711191195641e-05,0,,,
SSEN-491100604003,-1.3101063508194104,-0.483881309211772,0.8222300131481062,-1.3100399162222889,-0.4844035067039229,0.8232135761185144,0,0,False,0.9469086633136797,0.001115571554523357,-0.0009436155712595484,0,,,
SSEN-491100604004,0.4439823130496854,-0.5099631089584539,-0.6397107107612483,0.4428660112594773,-0.5044523299867872,-0.6507655510486843,0,0,False,1.5087724729332568,0.01240259280723601,-0.0028463725234111337,1,gradual_drift,0.2,SSEN-491100604004-gradual_drift-0.2
SSEN-491100610001,0.44980300496169656,-0.8029926335161313,-0.27722665353090703,0.4498782606799167,-0.803523322315051,-0.2762027528285901,0,0,False,1.4749759757587522,0.0011557104622823206,-6.929335342720222e-05,0,,,
SSEN-491100610002,0.020761371300343324,-2.035511101761549,0.2725099308201605,0.0208328410262569,-2.0360326529338386,0.2734948886289979,0,0,False,1.979653255284766,0.0011168103832918813,-0.0006343528674113141,0,,,
