PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Summer_aligned_cluster_k2,Summer_aligned_cluster_k3
-1.5532750698064683,-1.9368889583103484,0.46441925550720536,SSEN-400600301501,1,2,1,2
1.689743476955872,-0.6653081057817885,0.8781895107748708,SSEN-400600301502,0,0,0,0
-2.5824345295270508,-0.8223334328202351,1.1222263847485172,SSEN-400600301503,1,2,1,2
1.2707237404988514,-1.7083702994859782,-0.013433722922304984,SSEN-400600301504,0,0,0,0
-2.6757128678872566,-1.0883605973047847,1.482497477430647,SSEN-400600301505,1,2,1,2
-0.13965222523302648,-0.7202581824610513,-0.18082420501382535,SSEN-401100228001,0,0,0,0
-1.0719386933056323,-0.8377809713242663,0.25689124151109083,SSEN-401100228002,1,2,1,2
0.4166236133027655,0.30390798743020675,-1.7353393182615697,SSEN-401100228004,0,0,0,0
1.521061941510977,-0.9493473541407677,-0.4508644324497501,SSEN-401100228005,0,0,0,0
-2.3694005434246215,-0.8662698116361524,1.3760911789900445,SSEN-460000307001,1,2,1,2
-1.93652673089362,-0.7917602394968675,1.0617007644232646,SSEN-460000307003,1,2,1,2
-1.1017697568733724,-1.1656359325997478,0.6781481914966727,SSEN-460000307004,1,2,1,2
2.8804804006479747,0.1617542023414103,0.07041101239782233,SSEN-460000307005,0,0,0,0
-1.0338547183143356,-0.8690618034356107,-0.6246403868922917,SSEN-460000307006,1,2,1,2
2.360641646074147,1.4608963896603997,-0.4837387203524957,SSEN-460000640001,0,0,0,0
-0.8488172400832165,-0.43844339201605725,-0.6444252391239483,SSEN-460000640003,1,2,1,2
0.8795612532382148,0.34445733931913036,-0.40677563943888356,SSEN-460000667001,0,0,0,0
1.8661145085105608,0.8505226130992414,-0.7769400407654276,SSEN-460000667002,0,0,0,0
-2.4394433400956714,-2.081380287460177,-0.18429225637708274,SSEN-460000702003,1,2,1,2
-1.297985220280957,0.3226609827006817,0.01370771089230002,SSEN-460000702004,1,2,1,2
-0.6764785127146805,-2.064450595929743,-0.3477374889397065,SSEN-460001515001,1,2,1,2
