PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Spring_aligned_cluster_k2,Spring_aligned_cluster_k3
-1.3319822440053461,-0.8169910537678139,0.7897347744430602,SSEN-400600301501,1,2,1,2
2.612417630612575,-0.341162822766868,1.132338395085778,SSEN-400600301502,0,0,0,0
-1.8934472024458129,-0.7706828875207857,1.0031910906635273,SSEN-400600301503,1,2,1,2
2.3649675465558926,-1.015933302689622,0.4908979831339278,SSEN-400600301504,0,0,0,0
-2.2551375690234337,-0.8492129153507587,1.43684057919107,SSEN-400600301505,1,2,1,2
0.576978835843991,-0.3046294709145257,0.0030762447578147104,SSEN-401100228001,1,2,1,2
-0.4540303663391376,-0.4713422557503589,0.2658009476786422,SSEN-401100228002,1,2,1,2
1.4823072482826114,1.107040918410769,-1.8331115858153264,SSEN-401100228004,0,0,0,0
3.343889368011539,0.7650924593191192,0.2775819923511122,SSEN-401100228005,0,0,0,0
-1.837711262425848,-0.7604384588630485,1.412121618011262,SSEN-460000307001,1,2,1,2
-1.6688755913268511,-0.47833473312380975,1.277899591138832,SSEN-460000307003,1,2,1,2
-0.6894504443272316,-0.9009260918142487,0.8342203494523325,SSEN-460000307004,1,2,1,2
3.952094773614354,0.3877924104854913,0.31232037853976674,SSEN-460000307005,0,0,0,0
-0.9887312544314502,0.3794921855740732,0.11594522878088086,SSEN-460000307006,1,2,1,2
4.285806843439806,2.083357000298999,-0.328202690132845,SSEN-460000640001,0,0,0,0
0.05662997424312416,0.2901048732251595,-0.6281212359360707,SSEN-460000640003,1,2,1,2
1.9585389733264744,1.1520631841260556,-0.3197537002018561,SSEN-460000667001,0,0,0,0
3.262119008376174,2.075594641791637,-0.5796942106960464,SSEN-460000667002,0,0,0,0
-2.2605518218975393,1.1640470938697685,-1.0568831698440238,SSEN-460000702003,1,2,1,2
-1.0475591672667646,1.0414942352313594,0.6007195710166149,SSEN-460000702004,1,2,1,2
0.13053218609281078,-1.2332315917753773,-0.3052503772809478,SSEN-460001515001,1,2,1,2
-1.219429837297127,-1.5457419176851326,-0.36684633224228497,SSEN-460001515002,1,2,1,2
-0.8700692481094077,-0.42531068320065507,0.15340932642464544,SSEN-460001515003,1,2,1,2
-1.722931250095699,-1.495436916692191,0.06144128357517831,SSEN-460001515004,1,2,1,2
-0.12285085649669505,-1.8525201906872222,-0.31893035190450686,SSEN-460001515005,1,2,1,2
-2.2210155405212983,-0.24439471450680747,0.5927974622084584,SSEN-460200307001,1,2,1,2
-0.26424615343029056,-0.5188061082589315,1.1350099490880217,SSEN-460200307002,1,2,1,2
-1.1900577069365503,0.07906925357194157,0.49129149278391915,SSEN-460200307006,1,2,1,2
-0.8901673044458445,-0.8053719631419166,-0.441151777269253,SSEN-460200307007,1,2,1,2
2.689420906133463,-1.2069053112558237,0.15900477078580819,SSEN-460200307008,0,0,0,0
-1.4529722825739628,-1.774196991250023,-0.11012826371250592,SSEN-460200307009,1,2,1,2
-3.117519960003242,-0.5943015175510591,0.8434407873235553,SSEN-460200307011,1,2,1,2
-0.9267679789262752,-0.5358064389566193,-0.002044202759566178,SSEN-460200618001,1,2,1,2
0.6387230337656932,-0.5675391232456142,-0.017290169842732014,SSEN-460200618002,1,2,1,2
4.48011991091182,0.4190619657833392,1.3589166361660678,SSEN-460200618003,0,0,0,0
0.5262713229572972,-0.6271725603122948,-0.038668804459589055,SSEN-460200618004,1,2,1,2
-0.20750486497563853,-0.8864835093773648,-0.15868536104875236,SSEN-460200618005,1,2,1,2
4.2918333953065995,0.14357312830250893,1.1340547651162765,SSEN-460200618006,0,0,0,0
2.1033099581942216,-0.31693855531900544,0.11675239746037896,SSEN-460200618007,0,0,0,0
1.7415676271339389,0.2087190043411479,1.1528421581718367,SSEN-460500501301,0,0,0,0
0.5679258250468064,0.20652512401104034,-1.0551383689970937,SSEN-460500501302,1,2,1,2
3.249535096578325,-0.2789106230577705,0.1855927661159597,SSEN-460500501303,0,0,0,0
-2.9291727213437038,1.5681184040572869,1.7140945346944216,SSEN-460501021001,1,2,1,2
-3.450507587504565,0.5505835820873572,1.158775328958183,SSEN-460501021002,1,2,1,2
0.09644342151115563,-0.38077159784830106,-0.24587208468976884,SSEN-460501021003,1,2,1,2
-2.4371078697247106,1.4235816884460102,0.6197158143146867,SSEN-460501021004,1,2,1,2
2.966867511360738,0.43002173488461565,-0.7874489129839374,SSEN-460501721001,0,0,0,0
-4.710842283184055,7.1936062105055445,1.1706454800761321,SSEN-460501721004,1,1,1,1
-2.8517294679483896,4.727472569747443,0.637045249524051,SSEN-460501721005,1,1,1,1
2.9371455301573586,0.12454817140326123,0.22411590865369377,SSEN-460501724001,0,0,0,0
4.211786931197745,0.3765825121788319,0.6825743415699441,SSEN-460501724002,0,0,0,0
-0.15337724756040713,-0.5851552524088645,0.3049137240538653,SSEN-460501724003,1,2,1,2
1.9665732161239295,-0.6666648774965127,0.07002654997066392,SSEN-460501724004,0,0,0,0
-0.9812905018570502,-0.6839829019213672,-1.267211808351481,SSEN-460600102001,1,2,1,2
5.368679821620207,2.43256278277076,-0.2024712584876479,SSEN-460600102003,0,0,0,0
1.5012436180912219,1.4140148068107887,-1.9761519146150555,SSEN-460600102004,0,0,0,0
-0.3129502637430746,-0.39432259901209366,-0.3943636779537466,SSEN-460600103002,1,2,1,2
-2.5656240264976997,-0.7874051956540402,0.9320028763083626,SSEN-460600103003,1,2,1,2
3.235560812813531,0.164434367017597,0.07848065222486253,SSEN-460600103006,0,0,0,0
