PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Autumn_aligned_cluster_k2,Autumn_aligned_cluster_k3
-1.2760419324009484,-1.2152663013537384,1.190134342219735,SSEN-400600301501,1,2,1,2
3.500882057916957,0.23267739413843,1.3430984001108,SSEN-400600301502,0,0,0,0
-1.5880542161323024,-0.7337108901766969,0.6910030593389016,SSEN-400600301503,1,2,1,2
2.8921098517504418,-0.6602452574269413,0.6799527573096985,SSEN-400600301504,0,0,0,0
-2.0680942685313397,-0.7003062805946809,1.4502899406112328,SSEN-400600301505,1,2,1,2
0.8224697847828992,0.09013063125277067,-0.031136829781541333,SSEN-401100228001,1,2,1,2
-0.6184380251103859,-0.35263404557218253,0.41952026264356657,SSEN-401100228002,1,2,1,2
2.1064699548181838,1.8424966417065347,-2.0065800241876905,SSEN-401100228004,0,0,0,0
3.526879114861166,0.7375939051476266,0.3458964868278332,SSEN-401100228005,0,0,0,0
-1.6768137867006732,-0.8357125234330987,1.3324082624088371,SSEN-460000307001,1,2,1,2
-1.613351964465212,-0.20466803504918996,1.453478935557401,SSEN-460000307003,1,2,1,2
-0.4842552422522914,-0.5733678639193087,1.0433641970136285,SSEN-460000307004,1,2,1,2
4.24946669682046,0.6458201241728885,0.4280150792186984,SSEN-460000307005,0,0,0,0
-0.0739248157353378,0.782808482245147,-0.42822215913483674,SSEN-460000307006,1,2,1,2
5.35532251195192,2.941452433238694,0.09192217279814245,SSEN-460000640001,0,0,0,0
-0.18989205565074835,1.4063570221213797,0.1192175760944997,SSEN-460000640003,1,2,1,2
2.5982331566097443,2.2114611696619826,-0.1373877109792082,SSEN-460000667001,0,0,0,0
3.723527036793606,2.5978179362072575,-0.5460062336871283,SSEN-460000667002,0,0,0,0
-3.4455213322573166,-1.5389635367362413,1.2550802646096917,SSEN-460000702003,1,2,1,2
-0.8136155521127508,1.1318402287715428,0.33562974828242137,SSEN-460000702004,1,2,1,2
0.21225612962538065,-0.4850933863129481,0.015062013128329114,SSEN-460001515001,1,2,1,2
-1.112604445181014,-1.2760951335217112,-0.3038260665075795,SSEN-460001515002,1,2,1,2
-1.2598789861705262,-0.2744185585336883,0.47876600255236734,SSEN-460001515003,1,2,1,2
-1.958302414165056,-1.4385727381574713,0.2102786389339344,SSEN-460001515004,1,2,1,2
0.6808485670622964,-1.7551496678539422,-0.7457475408220987,SSEN-460001515005,1,2,1,2
-2.243941781805098,-0.21703393852584824,0.6455171793016818,SSEN-460200307001,1,2,1,2
0.07030414065635206,-0.3077869536445469,0.9672958930485843,SSEN-460200307002,1,2,1,2
-1.1233038334200216,0.21610570227668,0.5075599209496137,SSEN-460200307006,1,2,1,2
-1.3050253109397207,-0.6091078920100798,0.06367937232323254,SSEN-460200307007,1,2,1,2
2.502421559034129,-1.0181044298009088,0.4616766938339714,SSEN-460200307008,0,0,0,0
-1.5149893517070998,-1.5013424422880783,0.07678145555257145,SSEN-460200307009,1,2,1,2
-3.3336173960721873,-0.26686181328531217,1.131939500294489,SSEN-460200307011,1,2,1,2
-0.7569974449720939,-0.43542796178818166,-0.10139832586284261,SSEN-460200618001,1,2,1,2
1.081465634581416,-0.16881133585871255,-0.14505453845579958,SSEN-460200618002,1,2,1,2
5.172453771715513,0.9868639437435218,1.7977712466881386,SSEN-460200618003,0,0,0,0
