PC1,PC2,PC3,lv_feeder_unique_id,cluster_k2,cluster_k3,Winter_aligned_cluster_k2,Winter_aligned_cluster_k3
-1.536867401020892,0.2981121813598958,1.329435102731139,SSEN-400600301501,1,2,1,2
3.9831531203331014,0.502653701971496,1.4601202430262161,SSEN-400600301502,0,0,0,0
-1.588588684016361,-0.41416402348064085,0.7914704288446723,SSEN-400600301503,1,2,1,2
3.3426240265162894,-0.14911029817232707,0.9532524308498238,SSEN-400600301504,0,0,0,0
-2.0731238424181906,-0.46276967215953624,1.4385973157255687,SSEN-400600301505,1,2,1,2
1.294822919183684,0.5901033777829561,-0.29974292805940467,SSEN-401100228001,1,2,1,2
-0.11651126084122065,0.34683905073916627,0.2051938004676187,SSEN-401100228002,1,2,1,2
2.5934310542208983,2.6394146455919003,-2.302892327768717,SSEN-401100228004,0,0,0,0
4.8026639981497645,1.7806769911552907,-0.2903661398834085,SSEN-401100228005,0,0,0,0
-1.8513186434080384,-0.33759488838518537,1.6493152428652667,SSEN-460000307001,1,2,1,2
-1.5389687315181035,0.1045534750462691,1.6083342265778549,SSEN-460000307003,1,2,1,2
-0.39692744133762864,-0.13830370125059568,1.0625750244185195,SSEN-460000307004,1,2,1,2
4.6896320149117425,1.0896830944545979,0.48102469149024746,SSEN-460000307005,0,0,0,0
0.04589585009853422,1.5939622044587054,-0.3877762626637591,SSEN-460000307006,1,2,1,2
6.608511334223157,4.164464317264541,0.2021549594608464,SSEN-460000640001,0,0,0,0
0.7998741191652142,1.348968827711057,-0.7956688629071378,SSEN-460000640003,1,2,1,2
3.0159478496455385,3.1225701591270365,-0.14994663796984914,SSEN-460000667001,0,0,0,0
4.197277552007322,3.2251204174698995,-0.798092184469985,SSEN-460000667002,0,0,0,0
-0.4381496700100953,2.2398718707847007,-3.963829625839721,SSEN-460000702003,1,2,1,2
-1.1899758684466035,1.8546752903437764,0.8571099532290198,SSEN-460000702004,1,2,1,2
0.8743094694590609,-0.11419792857351432,-0.42882881595580835,SSEN-460001515001,1,2,1,2
-0.7592499698120638,-1.2107662558769126,-0.7000115681787134,SSEN-460001515002,1,2,1,2
-0.7499713872425008,1.2630279379099598,0.5808933200206964,SSEN-460001515003,1,2,1,2
-1.2050832386426409,-1.373608797665844,-0.3274495253599569,SSEN-460001515004,1,2,1,2
0.5117458222249228,-1.0947389206291942,-0.2691694770232977,SSEN-460001515005,1,2,1,2
-2.2175010093276333,0.4294499744464135,0.6021669568116769,SSEN-460200307001,1,2,1,2
0.13122925149887546,0.8155507422214071,1.6706118795791736,SSEN-460200307002,1,2,1,2
-0.9306232387459545,0.9100175525284027,0.43712083945544,SSEN-460200307006,1,2,1,2
-1.133216803272167,0.020946623404423437,-0.07332358989856447,SSEN-460200307007,1,2,1,2
3.1491886198095935,-0.47701565915309924,0.6165806484604154,SSEN-460200307008,0,0,0,0
-1.177793423938145,-1.2907719920348455,-0.3032006417628257,SSEN-460200307009,1,2,1,2
-3.013570658711461,-0.2718192121988971,0.7352853061481802,SSEN-460200307011,1,2,1,2
-0.3177393499991244,-0.08362974752837735,-0.4758752596909504,SSEN-460200618001,1,2,1,2
1.499953878416694,0.3106152913010857,-0.33113369114681573,SSEN-460200618002,1,2,1,2
5.966574897344992,1.5941055327536693,1.9449321445439893,SSEN-460200618003,0,0,0,0
1.0068955508787718,0.1512225975916281,-0.01764652928252848,SSEN-460200618004,1,2,1,2
0.0813795922379846,0.02903292913357357,-0.047756901511744,SSEN-460200618005,1,2,1,2
5.651814581772805,1.1069332820559041,1.3396635381137354,SSEN-460200618006,0,0,0,0
2.886385687385936,0.714928667475707,0.3696453575942598,SSEN-460200618007,0,0,0,0
2.7243692901325796,0.3837966683203183,0.46016914045777046,SSEN-460500501301,0,0,0,0
0.8675537712206652,0.8347790100121747,-1.0994752813761663,SSEN-460500501302,1,2,1,2
4.118232155562194,0.7471599563702461,0.5479077901098699,SSEN-460500501303,0,0,0,0
-2.282180837777242,0.9776589369223349,1.0033063586287523,SSEN-460501021001,1,2,1,2
-2.7664525622214313,1.081539796071394,0.2936249153769132,SSEN-460501021002,1,2,1,2
0.8579530611438907,1.3932360786487512,-0.06797771037413071,SSEN-460501021003,1,2,1,2
-2.063295864881327,1.9018518371994853,0.24076635739400148,SSEN-460501021004,1,2,1,2
5.221105535340783,2.938160186758073,-0.4066704247484526,SSEN-460501721001,0,0,0,0
-3.2451272463134933,11.133236301004626,-1.5610048915079375,SSEN-460501721004,1,1,1,1
-1.7749965289581378,8.438241465940152,-0.7234532811541624,SSEN-460501721005,1,1,1,1
4.03793754469516,1.6006770855863641,0.8763593638213747,SSEN-460501724001,0,0,0,0
5.697115443915338,1.8514521148304208,1.0755403151597642,SSEN-460501724002,0,0,0,0
0.7897923160773361,0.34189762523933237,0.03311346050372403,SSEN-460501724003,1,2,1,2
3.7431651442328255,0.9051001308349452,0.16110333035620342,SSEN-460501724004,0,0,0,0
-0.7439306881279647,0.3693704672268642,-1.3402775524061403,SSEN-460600102001,1,2,1,2
7.273692726091173,4.310110891654238,-0.4343187600520457,SSEN-460600102003,0,0,0,0
2.6338741672264145,3.4007109593595253,-2.2315465894832096,SSEN-460600102004,0,0,0,0
0.5032610398600299,1.2611570329362882,-0.4535168187841483,SSEN-460600103002,1,2,1,2
-1.9673927445601138,-0.27842368981332466,0.41180242094356667,SSEN-460600103003,1,2,1,2
5.163535252518402,1.594972583874313,0.26589162684249945,SSEN-460600103006,0,0,0,0
2.2673622572078767,1.7068837556422187,-0.7909986528899686,SSEN-460600105004,0,0,0,0
