lv_feeder_unique_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,cluster_k2_pca,cluster_k3_pca
SSEN-400600301501,-1.4136458968401215,-0.8760455284008087,0.9169950832266877,-0.20056916754732962,0.3423284441253602,-0.06713769735742627,-0.2322783575111896,0.07425182616282985,-0.039515425549494596,0.027723315744483123,-0.002136513845094217,-9.829428654684427e-05,0,0
SSEN-400600301502,2.8915297254943217,-0.1133385357923062,1.191758276482088,-0.4111008383009748,0.5113077457663693,-0.3352338927737059,-0.2665503156342897,-0.07055835300700775,-0.18476143643288007,0.008235251050362363,-0.0027398908856569775,0.00031527511720934407,1,1
SSEN-400600301503,-1.9124485094367203,-0.6948758233343278,0.9225695801188714,-0.1247875196996616,0.38626777362759585,-0.11934460352127861,0.00031379089963014104,0.04003388643841558,-0.013216473714168654,0.0012923489325887708,-0.010707235215306093,1.1503729656928475e-05,0,0
SSEN-400600301504,2.452982210927469,-0.900627563797123,0.5240485167104428,0.07494418264152145,0.6613869661656692,-0.09428208170532891,-0.25605074549175155,-0.12290924857555548,-0.011315237963891497,0.005842005304869736,0.010877415846086948,-0.00012047546259311933,1,1
SSEN-400600301505,-2.267532446182008,-0.7850647755674413,1.4492867837371117,-0.4609334836203716,0.2202471912269306,0.0338823385454711,0.0036810423936422844,0.07102313055906657,-0.010177609043677883,0.0013270447042674498,-0.016198199093222114,-0.00026942431012854295,0,0
SSEN-401100228001,0.6333796831243423,-0.11791920799902779,-0.10946535524164158,-0.25147829699032576,-1.4300704933013424,0.1334068492618769,0.1649526544855465,0.008518805452887222,-0.04821465045422112,0.002558929438254649,0.006017818966085815,0.0002393455709264061,0,1
SSEN-401100228002,-0.538405867207157,-0.34290124178775006,0.2790292833414379,-0.30861548777636977,-0.982027122875666,-0.15191550864975098,-0.024029441455005827,0.008951864664473834,-0.060923631315286025,0.0028133238820639214,0.008359048075562406,-0.0002563512682451284,0,0
SSEN-401100228004,1.624216083679241,1.418782019038397,-1.9500339058185343,1.4732167037715578,0.6893676641776353,0.3712726296839818,0.17981594238111906,0.3227876404646547,-0.013388897856560129,0.00034901931649430293,-0.028222621151515817,7.270735485732173e-05,1,1
SSEN-401100228005,3.3230015154128596,0.6285496816864562,0.010991552012995192,-0.5090861852916458,-0.44392858700562243,0.11401491420880693,0.4771560904467188,-0.0667978133335059,0.11163140814567202,0.0719299087267077,-0.004466623345192099,0.0013800127119577884,1,1
SSEN-460000307001,-1.9219544129676431,-0.7020461748667312,1.4427709661248673,-0.8144790694524816,-0.7748065091147576,-0.4988303804945221,0.1832145774826951,-0.00629464027514382,-0.03166651714118214,-0.017081346658540993,-0.011613955350254192,-0.00048272251206033103,0,0
SSEN-460000307003,-1.6854505350522166,-0.3625460102140672,1.3392929661425863,-0.6022266483092656,-0.10907047031258073,-0.1359023104066902,-0.17610125757955344,0.11991293982777662,-0.05850183097270367,0.030307738461181195,0.004806496892994262,4.231963892117728e-06,0,0
