lv_feeder_unique_id,avg_daily_consumption_per_device,std_daily_consumption_per_device,avg_total_consumption_daily,std_total_consumption_daily,avg_max_consumption_daily,std_max_consumption_daily,max_to_mean_ratio,std_to_mean_ratio,per_device_peak_ratio,max_to_min_ratio,weekday_weekend_ratio,mean_daily_time_at_peak,is_anomalous,anomaly_type,anomaly_intensity,anomaly_id
SSEN-462600136004,-0.08182727674303636,-0.30706718665206967,-1.0360847365941215,-1.2850456589319807,-1.1785467647886958,-1.2848181959167155,0.00033168818813023596,-0.7017849457044396,-0.0919147488783106,-0.673349078351584,0.4532657983988981,-0.2238478717671309,0,,,
SSEN-462600148001,0.6801455660442902,0.5018149946194967,1.1476315945529656,1.711711264051737,1.2153602889467416,1.712196170125213,-0.6182940192158409,0.023086422762710557,0.3666010265794579,-0.14028414904375794,-0.23231805321577698,0.18402065827164266,0,,,
SSEN-462600148002,1.215784359657234,0.22531701611137364,0.6223318941536315,0.2795655270701152,0.5449624311600917,0.2789202588005364,-0.6066998067140205,-0.9931072743540924,0.7143649115455797,-0.5663299515518591,1.8456964578577246,0.14695464979024228,0,,,
SSEN-462600148004,-0.6570947810143228,-0.6561212436457831,-0.06132756915596474,-0.19022176620747094,-0.16136226098221504,-0.19005315836606104,-0.7337850316578938,-0.6782332436468148,-0.7352681597383612,-0.4878024205369993,1.9268884196037013,0.16910178250865043,1,smoothed_profile,0.05,SSEN-462600148004-smoothed_profile-0.05
SSEN-462600148005,0.6070623470503103,0.11800295242061372,1.288856980591802,1.3254237415363452,1.226171726521719,1.325151822778063,-0.9042516228990871,-0.7172152607872007,0.19398600827774024,-0.4956430988422153,-0.05863163147430189,0.1616423446271551,0,,,
SSEN-462600150001,-0.1277799007787834,-0.4352779467775121,0.2705268561092342,0.015041404519563619,0.29377723470461486,0.014541489703297437,-0.3351010464549547,-0.8576267857960601,-0.22256676611137025,-0.5749879519031014,0.2663242578235977,0.17673075306927075,0,,,
SSEN-462600150002,-0.1244689046652083,-0.1906083331073366,0.3429936964840002,0.4522724608243271,0.7201853483734688,0.45180941719846623,0.7123412641489818,-0.1954206190693816,0.08664348693333462,-0.05393028064520948,-0.10307639727699663,0.1616423446271551,0,,,
SSEN-462600150003,0.9582104108912991,0.6478738625505178,-0.3075038605683581,-0.2885187402792667,-0.27619107460232406,-0.2886591276941288,0.20689667915612514,0.10587891016006876,0.859582008025685,0.3028146357173475,0.3450059238628652,0.10786572759862932,1,smoothed_profile,0.05,SSEN-462600150003-smoothed_profile-0.05
SSEN-462600150004,-0.9780331391097309,-0.6705453535772395,-0.7105082359568887,-0.7672657749497392,-0.7187763414157018,-0.7670317187931447,0.545371947781784,0.25887631407842593,-0.7687754472570604,-0.05781701596604549,-0.38543642850806953,0.16910178250865043,0,,,
SSEN-462600208004,-0.06126393251198938,-0.2639365802061487,-0.7781863471934378,-0.9838757368606156,-0.8686594451075219,-0.9837574424328883,-0.19706212560650663,-0.6828061486173994,-0.08965535554600451,-0.619191983122804,1.406156106986516,0.04002853832904225,0,,,
